,product,brand,weight,links,price,price_gr,nutritions,photo_link
98,Linsen Chips Meersalz - 75g,Heimatgut,- 75g,https://kokku-online.de/heimatgut-linsen-chips-meersalz/,2.79 €,3.72€/100g,Brennwert1906 kJ / 454 kcalFett17g- davon gesättigte Fettsäuren1.41gKohlenhydrate59.4g- davon Zucker0.8gEiweiß13gSalz1.7g,https://kokku-online.de//bilder/350x350/16239/heimatgut-linsen-chips-meersalz.auto
99,Protein Riegel - Erdnuss Schokolade - 40g,Heimatgut,- 40g,https://kokku-online.de/heimatgut-protein-riegel-erdnuss-schokolade/,2.09 €,5.23€/100g,Brennwert2076 kJ / 498 kcalFett30g- davon gesättigte Fettsäuren13gKohlenhydrate34g- davon Zucker30gEiweiß21gSalz0.44g,https://kokku-online.de//bilder/350x350/16238/heimatgut-protein-riegel-erdnuss-schokolade.auto
100,Tafel °Süße Kakaonibs & Meersalz° - 70g,Lovechock,- 70g,https://kokku-online.de/lovechock-tafel-suesse-kakaonibs-und-meersalz/,3.99 €,5.70€/100g,Brennwert2596 kJ / 631 kcalFett53g- davon gesättigte Fettsäuren30gKohlenhydrate26g- davon Zucker18gEiweiß7.0gSalz0.69g,https://kokku-online.de//bilder/350x350/16204/lovechock-tafel-suesse-kakaonibs-und-meersalz.auto
101,Tafel °Mandel & Baobab° - 70g,Lovechock,- 70g,https://kokku-online.de/lovechock-tafel-mandel-und-baobab/,3.99 €,5.70€/100g,Brennwert2628 kJ / 632 kcalFett54.3g- davon gesättigte Fettsäuren28gKohlenhydrate24.7g- davon Zucker16.3gEiweiß7.6gSalz0.1g,https://kokku-online.de//bilder/350x350/16208/lovechock-tafel-mandel-und-baobab.auto
102,Tafel °Blaubeere & Hanfsaat° - 70g,Lovechock,- 70g,https://kokku-online.de/lovechock-tafel-blaubeere-und-hanfsaat/,3.99 €,5.70€/100g,Brennwert2667 kJ / 640 kcalFett55g- davon gesättigte Fettsäuren28.7gKohlenhydrate23.1g- davon Zucker16gEiweiß8.3gSalz0.07g,https://kokku-online.de//bilder/350x350/16197/lovechock-tafel-blaubeere-und-hanfsaat.auto
103,Vego Melts Schoko Drops zum Backen & für heiße Schokolade - 180g,Vego Chocolate,- 180g,https://kokku-online.de/vego-chocolate-vego-melts-schoko-drops-zum-backen/,5.49 €,3.05€/100g,Brennwert2264 kJ / 543 kcalFett34g- davon gesättigte Fettsäuren12gKohlenhydrate52g- davon Zucker47gEiweiß7.1gSalz0.03g,https://kokku-online.de//bilder/350x350/16070/vego-chocolate-vego-melts-schoko-drops-zum-backen.auto
104,Süße °Lakritz° Giraffen Schlange - 50g,Candy Tree,- 50g,https://kokku-online.de/candy-tree-suesse-lakritz-giraffen-schlange/,0.99 €,1.98€/100g,Brennwert1480 kJ / 348 kcalFett0.2g- davon gesättigte Fettsäuren0.1gKohlenhydrate84.2g- davon Zucker39.6gEiweiß2.3gSalz0.2g,https://kokku-online.de//bilder/350x350/15987/candy-tree-suesse-lakritz-giraffen-schlange.auto
105,Kirschschnüre aus Fruchtgummi - 75g,Candy Tree,- 75g,https://kokku-online.de/candy-tree-kirschschnuere-aus-fruchtgummi/,1.99 €,2.65€/100g,Brennwert1432 kJ / 337 kcalFett0.3g- davon gesättigte Fettsäuren0.1gKohlenhydrate81.7g- davon Zucker42.5gEiweiß1.9gSalz0.1g,https://kokku-online.de//bilder/350x350/15985/candy-tree-kirschschnuere-aus-fruchtgummi.auto
106,Zartbitter Mandel Schokolade - 100g,Vivani,- 100g,https://kokku-online.de/vivani-zartbitter-mandel-schokolade/,2.29 €,2.29€/100g,Brennwert2437 kJ / 587 kcalFett41.1g- davon gesättigte Fettsäuren18.8gKohlenhydrate38.8g- davon Zucker32.7gEiweiß10.3gSalz0.01g,https://kokku-online.de//bilder/350x350/19072/vivani-zartbitter-mandel-schokolade.auto
107,Himbeer Splitter - 90g,Rosengarten,- 90g,https://kokku-online.de/rosengarten-schoko-himbeer-splitter/,3.49 €,3.88€/100g,"Brennwert2255 kJ / 541 kcalFett32,9g- davon gesättigte Fettsäuren18,8gKohlenhydrate53,7g- davon Zucker26,9gEiweiß4,5gSalz0,08g",https://kokku-online.de//bilder/350x350/19215/rosengarten-schoko-himbeer-splitter.auto
